Id,firstName,lastName,salary,managerId
1,Hulda,Hanson,89811,
2,Lawrence,Barker,89489,1
3,John,Floyd,10140,2
4,Dale,Gibson,50797,3
5,Louisa,Reed,24314,3
6,Inez,Nguyen,36706,4
7,Vincent,Wallace,05102,5
8,Margaret,Allison,72672,5
9,Todd,Barton,38758,7
10,Myra,Norton,71095,7
11,Wayne,Horton,26373,10
12,Ryan,Lyons,27732,11
13,Elnora,Cook,78229,10
14,Jason,Carroll,34910,9
15,Clyde,Bryan,10880,7
16,Lettie,White,37569,15
17,Lura,Hampton,63995,15
18,Lura,Joseph,41921,5
19,Laura,Ellis,74544,6
20,Eunice,Lloyd,31120,8
