Id,firstName,lastName,salary,managerId
1,Hulda,Hanson,89811
2,Lawrence,Barker,89489,605
3,John,Floyd,10140,277
4,Dale,Gibson,50797,857
5,Louisa,Reed,24314,882
6,Inez,Nguyen,36706,407
7,Vincent,Wallace,05102,510
8,Margaret,Allison,72672,378
9,Todd,Barton,38758,077
10,Myra,Norton,71095,026
11,Wayne,Horton,26373,840
12,Ryan,Lyons,27732,046
13,Elnora,Cook,78229,785
14,Jason,Carroll,34910,061
15,Clyde,Bryan,10880,101
16,Lettie,White,37569,329
17,Lura,Hampton,63995,910
18,Lura,Joseph,41921,623
19,Laura,Ellis,74544,252
20,Eunice,Lloyd,31120,947
21,Eleanor,Kelley,69709,230
22,Hester,Davis,03085,767
23,Herbert,McLaughlin,36055,558
24,Steven,Goodwin,52957,966
25,Jim,Ross,56962,880
26,Gavin,Johnston,92170,081
27,Eleanor,Maxwell,03230,565
28,Walter,Alvarado,49721,711
29,Lura,Haynes,19374,389
30,Lena,Norman,76120,592
31,Celia,Miller,96033,356
32,Isabel,Lynch,09974,487
33,Cody,Spencer,78051,800
34,Lina,McDonald,97140,779
35,Jennie,Burgess,01678,065
36,Harry,Joseph,21106,847
37,Cory,Rhodes,88460,014
38,Verna,Hicks,33795,784
39,Harry,Sullivan,91808,236
40,Claudia,Sanchez,93179,768
41,Vera,Graves,35206,434
42,Cecelia,Horton,54759,246
43,Edna,Fuller,09215,605
44,Milton,Watson,86406,144
45,Emilie,Bryant,37726,742
46,Hunter,Hernandez,86470,026
47,Victoria,Bowers,68000,574
48,Juan,White,24399,683
49,Mabelle,Martin,56319,164
50,Mildred,Moran,37053,870
51,Mable,Warren,68630,760
52,Zachary,Reid,39182,383
53,Leonard,Lee,46642,367
54,Leah,Blake,27772,786
55,Hilda,Jones,38567,493
56,Elva,Chavez,84993,248
57,Hettie,Sims,31717,886
58,Mathilda,Martinez,07485,459
59,Lina,Warner,89537,205
60,Virgie,Price,84984,653
61,James,Quinn,02637,121
62,Johanna,Potter,85500,964
63,Steve,Todd,09485,607
64,Ronnie,Myers,20672,359
65,Emilie,West,78332,681
66,Duane,Lewis,70879,663
67,Genevieve,Walters,46694,929
68,Charlotte,Lynch,60361,897
69,Gary,Lloyd,94284,938
70,Laura,Allison,35868,112
71,Katherine,Sandoval,24057,350
72,Mabelle,Campbell,17259,253
73,James,Perkins,57694,671
74,Howard,McBride,68289,006
75,Kenneth,Adams,30103,607
76,Claudia,Jimenez,88904,888
77,Justin,Park,63438,485
78,Delia,Price,58798,199
79,Katie,Becker,84820,713
80,Nellie,Taylor,00171,357
81,Lola,Quinn,47943,103
82,Tommy,Carson,80262,055
83,Todd,Webb,09594,533
84,Ella,Maldonado,67523,565
85,Glen,Mendoza,54092,902
86,Albert,Bailey,44476,029
87,Myrtle,Willis,70132,736
88,Gussie,Payne,32497,398
89,Ruth,Moran,17988,562
90,Ida,McDonald,36104,736
91,Ethan,Russell,20878,817
92,Trevor,Moreno,50373,363
93,Bessie,Lawson,69859,599
94,Lucille,Massey,89754,892
95,Corey,Russell,23468,121
96,Barbara,Greene,70070,260
97,Belle,Willis,99576,424
98,Francis,Francis,40419,522
99,Billy,Wilkerson,51839,024
100,Owen,French,30409,941
101,Barry,Alvarado,34873,684
102,Dora,Wilkerson,21259,025
103,Lois,Wheeler,40450,618
104,Shane,George,19111,188
105,Luis,Colon,51983,644
106,Daisy,Bridges,14302,990
107,Katherine,Palmer,66991,350
108,Maude,Pena,72099,952
109,Glen,Poole,48121,056
110,Devin,Perez,98928,357
111,Ella,Taylor,19207,800
112,Dean,McLaughlin,35456,759
113,Dollie,Ryan,88394,887
114,Amelia,Mason,03004,159
115,Noah,Montgomery,67954,682
116,Devin,Guerrero,89299,610
117,Agnes,Bishop,58428,838
118,Janie,Salazar,16923,305
119,Daisy,Jimenez,27231,583
120,Dorothy,Simon,23164,067
121,Terry,Guzman,35745,898
122,Carrie,Paul,55689,924
123,David,Sims,64997,939
124,Roxie,Greer,19025,955
125,Ina,Dunn,36063,214
126,Brent,Schmidt,27665,082
127,Aaron,Watkins,98998,944
128,Louisa,Douglas,59792,075
129,Gilbert,Lamb,91548,409
130,Joel,Quinn,06160,493
131,Calvin,Sherman,66925,797
132,Howard,Arnold,96932,336
133,Barbara,Webb,19352,666
134,Dean,Morrison,24184,427
135,Addie,Bowman,17089,132
136,Jason,Rice,32542,532
137,Elva,Ward,08830,196
138,Ralph,Gross,86893,367
139,Eugene,Williamson,67032,268
140,Carl,McDaniel,07112,603
141,Nannie,Turner,50121,500
142,Brian,McKinney,42662,032
143,Tony,Strickland,43671,844
144,Teresa,Page,20814,579
145,Ethel,Campbell,63678,153
146,Sara,Alvarez,56800,736
147,Jay,Ryan,18465,051
148,Marian,Allison,39560,773
149,Eliza,Doyle,95951,939
150,Eugenia,Walker,80710,503
151,Lulu,Fuller,95242,800
152,Albert,Welch,60562,235
153,Joel,Lucas,02185,767
154,Tom,Warren,79854,803
